Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ExtentTestSuite,,,,2023-04-21 13:35:05,2023-04-21 13:35:31,26.121s,PASSED
,,,,,,,
Test Cases/New Test Case,,,,2023-04-21 13:35:05,2023-04-21 13:35:31,25.653s,PASSED
execID = getExecutionSourceName(),,,,2023-04-21 13:35:06,2023-04-21 13:35:06,0.003s,PASSED
extent = com.katalon.plugin.keyword.extentReport.Extent.setupExtentReport(execID),,,,2023-04-21 13:35:06,2023-04-21 13:35:11,5.405s,PASSED
"tcID = ""Test Case 1""",,,,2023-04-21 13:35:11,2023-04-21 13:35:11,0.003s,PASSED
"extentTest = com.katalon.plugin.keyword.extentReport.Extent.startExtentTest(tcID, ""Extent Test"", extent)",,,,2023-04-21 13:35:11,2023-04-21 13:35:11,0.003s,PASSED
driver = startNewBrowser(getExecutedBrowser()),,,,2023-04-21 13:35:11,2023-04-21 13:35:16,5.079s,PASSED
"extentTest.log(INFO, ""Browser Launched"")",,,,2023-04-21 13:35:16,2023-04-21 13:35:16,0.040s,PASSED
"baseUrl = ""https://www.google.com""",,,,2023-04-21 13:35:16,2023-04-21 13:35:16,0.002s,PASSED
"driver.get(baseUrl + ""/"")",,,,2023-04-21 13:35:16,2023-04-21 13:35:25,8.436s,PASSED
maximizeWindow(),,,,2023-04-21 13:35:25,2023-04-21 13:35:25,0.660s,PASSED
"takeScreenshot(""Screenshots/"" + ""googleScreenshot.png"")",,,,2023-04-21 13:35:25,2023-04-21 13:35:29,3.558s,PASSED
"extentTest.log(INFO, ""Snapshot below: "" + extentTest.addScreenCapture(""/Users/bhagyesh/Downloads/integrate_extent_with_katalon-master/Screenshots/googleScreenshot.png""))",,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.014s,PASSED
"extentTest.log(INFO, ""Navigated to www.google.com"")",,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.002s,PASSED
title = driver.getTitle(),,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.033s,PASSED
println(title),,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.027s,PASSED
"extentTest.log(INFO, ""Get the WebSite title"")",,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.005s,PASSED
"if (title.equalsIgnoreCase(""Google""))",,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.009s,PASSED
driver.quit(),,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.175s,PASSED
"extentTest.log(INFO, ""Browser closed"")",,,,2023-04-21 13:35:29,2023-04-21 13:35:29,0.005s,PASSED
"com.katalon.plugin.keyword.extentReport.Extent.tearDownTest(driver, extent, extentTest)",,,,2023-04-21 13:35:29,2023-04-21 13:35:31,1.718s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-04-21 13:35:31,2023-04-21 13:35:31,0.032s,PASSED
